TIME,%CPU,MEM_WSET,MEM_PRIVATE,NUM_HANDLES
2022-09-03 16:18:25.938477,0.0,2248704,458752,4
2022-09-03 16:18:27.949286,14.1,69791744,49831936,662
2022-09-03 16:18:29.961798,0.0,69791744,49827840,662
2022-09-03 16:18:31.962737,0.0,70721536,49905664,676
2022-09-03 19:11:18.608889,0.0,2166784,450560,0
2022-09-03 19:11:20.609654,20.3,70512640,49987584,675
2022-09-03 19:21:46.425914,0.0,2240512,458752,4
2022-09-03 19:21:48.426778,16.4,69570560,49762304,660
